Product Name,Printing,Condition,Rarity,Number,Market Price
Dragoon,Normal,Near Mint,Common,26-060C/15-058C,$0.09
Dragoon (26-099C),Foil,Lightly Played,Common,26-099C,$0.50
Dragoon (26-099C),Foil,Near Mint,Common,26-099C,$0.72
Dragoon (26-099C),Normal,Near Mint,Common,26-099C,$0.08
Dyne,Foil,Lightly Played,Common,26-073C,$0.35
Dyne,Foil,Near Mint,Common,26-073C,$0.42
Dyne,Normal,Near Mint,Common,26-073C,$0.07
Echo EX,Foil,Lightly Played,Common,26-046C,$0.10
Echo EX,Foil,Near Mint,Common,26-046C,$0.20
Echo EX,Normal,Near Mint,Common,26-046C,$0.04
Eiko,Foil,Near Mint,Hero,26-067H,$1.24
Eiko,Normal,Near Mint,Hero,26-067H,$0.22
Eiko (Prerelease Promo),Foil,Lightly Played,Hero,PR-189/26-067H,$0.99
Eiko (Prerelease Promo),Foil,Near Mint,Hero,PR-189/26-067H,$3.37
Elena,Foil,Near Mint,Hero,26-083H,$1.21
Elena,Normal,Lightly Played,Hero,26-083H,$0.60
Elena,Normal,Near Mint,Hero,26-083H,$0.50
Elena (Full Art),Foil,Near Mint,Hero,26-083H,$24.59
Elwin,Foil,Near Mint,Common,26-004C,$2.68
Elwin,Normal,Near Mint,Common,26-004C,$0.12
Exdeath EX,Foil,Lightly Played,Common,26-086C,$0.10
Exdeath EX,Foil,Near Mint,Common,26-086C,$0.43
Exdeath EX,Normal,Near Mint,Common,26-086C,$0.07
Fang,Foil,Lightly Played,Hero,26-015H,$2.75
Fang,Foil,Near Mint,Hero,26-015H,$1.86
Fang,Normal,Lightly Played,Hero,26-015H,$0.45
Fang,Normal,Near Mint,Hero,26-015H,$0.37
Fang (Full Art),Foil,Near Mint,Hero,26-015H,$20.29
Faris EX,Foil,Near Mint,Legend,26-014L,$4.24
Faris EX,Normal,Lightly Played,Legend,26-014L,$4.74
Faris EX,Normal,Near Mint,Legend,26-014L,$2.10
Faris EX (Full Art),Foil,Lightly Played,Legend,26-014L,$29.99
Faris EX (Full Art),Foil,Near Mint,Legend,26-014L,$34.02
Fina,Foil,Lightly Played,Hero,26-055H,$1.95
Fina,Foil,Near Mint,Hero,26-055H,$1.63
Fina,Normal,Near Mint,Hero,26-055H,$0.37
Freya,Foil,Lightly Played,Rare,26-095R,$1.79
Freya,Foil,Near Mint,Rare,26-095R,$1.87
Freya,Normal,Near Mint,Rare,26-095R,$0.16
Freya (Full Art),Foil,Lightly Played,Rare,26-095R,$26.99
Freya (Full Art),Foil,Near Mint,Rare,26-095R,$31.35
Garnet,Foil,Lightly Played,Common,26-105C,$0.35
Garnet,Foil,Near Mint,Common,26-105C,$0.44
Garnet,Normal,Near Mint,Common,26-105C,$0.08
Gav EX,Foil,Lightly Played,Rare,26-088R,$1.50
Gav EX,Foil,Near Mint,Rare,26-088R,$1.60
Gav EX,Normal,Near Mint,Rare,26-088R,$0.09
Geomancer,Foil,Near Mint,Common,26-079C/15-080C,$0.47
Geomancer,Normal,Near Mint,Common,26-079C/15-080C,$0.07
Gilgamesh,Foil,Lightly Played,Common,26-089C,$0.10
Gilgamesh,Foil,Near Mint,Common,26-089C,$0.42
Gilgamesh,Normal,Lightly Played,Common,26-089C,$0.10
Gilgamesh,Normal,Near Mint,Common,26-089C,$0.06
Gladiator,Foil,Lightly Played,Common,26-068C,$0.10
Gladiator,Foil,Near Mint,Common,26-068C,$0.42
Gladiator,Normal,Near Mint,Common,26-068C,$0.07
Gorger,Foil,Near Mint,Common,26-056C,$0.34
Gorger,Normal,Lightly Played,Common,26-056C,$0.10
Gorger,Normal,Near Mint,Common,26-056C,$0.07
Halone,Foil,Lightly Played,Hero,26-037H,$2.79
Halone,Foil,Near Mint,Hero,26-037H,$2.38
Halone,Normal,Lightly Played,Hero,26-037H,$0.50
Halone,Normal,Near Mint,Hero,26-037H,$0.42
Heretical Knight Garland LB,Foil,Near Mint,Rare,26-125R,$1.25
Heretical Knight Garland LB,Normal,Lightly Played,Rare,26-125R,$0.20
Heretical Knight Garland LB,Normal,Near Mint,Rare,26-125R,$0.13
Iedolas,Foil,Near Mint,Hero,26-104H,$0.85
Iedolas,Normal,Lightly Played,Hero,26-104H,$0.60
Iedolas,Normal,Near Mint,Hero,26-104H,$0.50
Ifrit (XVI),Foil,Near Mint,Rare,26-003R,$0.85
Ifrit (XVI),Normal,Lightly Played,Rare,26-003R,$0.10
Ifrit (XVI),Normal,Near Mint,Rare,26-003R,$0.15
Ignis,Foil,Near Mint,Rare,26-064R,$2.75
Ignis,Normal,Near Mint,Rare,26-064R,$0.09
Jill,Foil,Lightly Played,Legend,26-034L,$10.00
Jill,Foil,Near Mint,Legend,26-034L,$10.31
Jill,Normal,Lightly Played,Legend,26-034L,$4.09
Jill,Normal,Near Mint,Legend,26-034L,$4.65
Jill (Full Art),Foil,Near Mint,Legend,26-034L,$67.13
Johnny,Foil,Lightly Played,Rare,26-109R,$0.25
Johnny,Foil,Near Mint,Rare,26-109R,$0.53
Johnny,Normal,Near Mint,Rare,26-109R,$0.11
Joshua,Foil,Lightly Played,Rare,26-009L,$7.74
Joshua,Foil,Near Mint,Rare,26-009L,$8.20
Joshua,Normal,Lightly Played,Rare,26-009L,$2.55
Joshua,Normal,Near Mint,Rare,26-009L,$1.42
Joshua (Full Art),Foil,Lightly Played,Rare,26-009L,$19.99
Joshua (Full Art),Foil,Near Mint,Rare,26-009L,$30.26
Kadaj EX,Foil,Lightly Played,Common,26-025C,$0.10
Kadaj EX,Foil,Near Mint,Common,26-025C,$0.39
Kadaj EX,Normal,Near Mint,Common,26-025C,$0.07
Knight,Foil,Lightly Played,Common,26-036C/15-038C,$0.10
Knight,Foil,Near Mint,Common,26-036C/15-038C,$0.27
Knight,Normal,Near Mint,Common,26-036C/15-038C,$0.06
Kuja,Foil,Lightly Played,Rare,26-026R,$0.34
Kuja,Foil,Near Mint,Rare,26-026R,$0.49
Kuja,Normal,Lightly Played,Rare,26-026R,$0.10
Kuja,Normal,Near Mint,Rare,26-026R,$0.13
Kujata,Foil,Near Mint,Rare,26-027R,$0.95
Kujata,Normal,Near Mint,Rare,26-027R,$0.11
Lanista,Foil,Lightly Played,Common,26-020C,$0.15
Lanista,Foil,Near Mint,Common,26-020C,$0.41
Lanista,Normal,Near Mint,Common,26-020C,$0.10
Larsa,Foil,Near Mint,Hero,26-058H,$1.88
Larsa,Normal,Near Mint,Hero,26-058H,$0.36
Larsa (Full Art),Foil,Lightly Played,Hero,26-058H,$7.75
Larsa (Full Art),Foil,Near Mint,Hero,26-058H,$12.27
Lenna,Foil,Near Mint,Legend,26-120L,$4.02
Lenna,Normal,Lightly Played,Legend,26-120L,$1.02
Lenna,Normal,Near Mint,Legend,26-120L,$0.93
Lenna (Full Art),Foil,Lightly Played,Legend,26-120L,$20.12
Lenna (Full Art),Foil,Near Mint,Legend,26-120L,$21.51
Leviathan,Foil,Lightly Played,Rare,26-119R,$0.25
Leviathan,Foil,Near Mint,Rare,26-119R,$0.45
Leviathan,Normal,Lightly Played,Rare,26-119R,$0.20
Leviathan,Normal,Near Mint,Rare,26-119R,$0.14
Lightning,Foil,Lightly Played,Legend,26-098L,$10.00
Lightning,Foil,Near Mint,Legend,26-098L,$8.24
Lightning,Normal,Lightly Played,Legend,26-098L,$5.10
Lightning,Normal,Near Mint,Legend,26-098L,$5.97
Lightning (Full Art),Foil,Lightly Played,Legend,26-098L,$80.00
Lightning (Full Art),Foil,Near Mint,Legend,26-098L,$66.11
Lightning LB,Foil,Near Mint,Hero,26-130H,$1.59
Lightning LB,Normal,Lightly Played,Hero,26-130H,$0.99
Lightning LB,Normal,Near Mint,Hero,26-130H,$0.52
Lightning LB (Full Art),Foil,Lightly Played,Hero,26-130H,$64.99
Lightning LB (Full Art),Foil,Near Mint,Hero,26-130H,$81.08
Llymlaen,Foil,Lightly Played,Rare,26-059R,$0.33
Llymlaen,Foil,Near Mint,Rare,26-059R,$0.59
Llymlaen,Normal,Near Mint,Rare,26-059R,$0.08
Llyud,Foil,Near Mint,Rare,26-100R,$0.21
Llyud,Normal,Near Mint,Rare,26-100R,$0.10
Llyud (Full Art),Foil,Near Mint,Rare,26-100R,$5.02
Malboro,Foil,Lightly Played,Common,26-116C,$0.15
Malboro,Foil,Near Mint,Common,26-116C,$0.41
Malboro,Normal,Lightly Played,Common,26-116C,$0.10
Malboro,Normal,Near Mint,Common,26-116C,$0.06
Mandragora,Foil,Near Mint,Common,26-080C,$0.55
Mandragora,Normal,Lightly Played,Common,26-080C,$0.10
Mandragora,Normal,Near Mint,Common,26-080C,$0.09
Menphina,Foil,Lightly Played,Rare,26-040R,$1.25
Menphina,Foil,Near Mint,Rare,26-040R,$0.95
Menphina,Normal,Near Mint,Rare,26-040R,$0.10
Mid Previa,Foil,Near Mint,Hero,26-115H,$0.69
Mid Previa,Normal,Near Mint,Hero,26-115H,$0.35
Mid Previa (Full Art),Foil,Near Mint,Hero,26-115H,$10.32
Millefeui,Foil,Lightly Played,Common,26-057C,$0.35
Millefeui,Foil,Near Mint,Common,26-057C,$0.39
Millefeui,Normal,Near Mint,Common,26-057C,$0.10
Millefeui (Full Art),Foil,Lightly Played,Common,26-057C,$7.99
Millefeui (Full Art),Foil,Near Mint,Common,26-057C,$4.70
Mini Fighter,Foil,Lightly Played,Common,26-096C,$0.15
Mini Fighter,Foil,Near Mint,Common,26-096C,$0.42
Mini Fighter,Normal,Near Mint,Common,26-096C,$0.07
Musician,Foil,Near Mint,Common,26-024C,$0.46
Musician,Normal,Near Mint,Common,26-024C,$0.08
Naji EX,Foil,Lightly Played,Common,26-011C,$0.35
Naji EX,Foil,Near Mint,Common,26-011C,$0.66
Naji EX,Normal,Near Mint,Common,26-011C,$0.10
Naji EX (Full Art),Foil,Near Mint,Common,26-011C,$21.83
Nald'thal,Foil,Lightly Played,Hero,26-012H,$1.75
Nald'thal,Foil,Near Mint,Hero,26-012H,$1.22
Nald'thal,Normal,Lightly Played,Hero,26-012H,$0.47
Nald'thal,Normal,Near Mint,Hero,26-012H,$0.38
Ninja,Foil,Lightly Played,Common,26-093C/15-095C,$0.15
Ninja,Foil,Near Mint,Common,26-093C/15-095C,$0.34
Ninja,Normal,Near Mint,Common,26-093C/15-095C,$0.05
Noctis,Foil,Near Mint,Rare,26-077R,$0.82
Noctis,Normal,Near Mint,Rare,26-077R,$0.16
Noctis (Full Art),Foil,Lightly Played,Rare,26-077R,$18.70
Noctis (Full Art),Foil,Near Mint,Rare,26-077R,$17.97
Nophica,Foil,Lightly Played,Common,26-078C,$0.70
Nophica,Foil,Near Mint,Common,26-078C,$0.76
Nophica,Normal,Near Mint,Common,26-078C,$0.09
Nymeia EX,Foil,Lightly Played,Rare,26-113R,$0.35
Nymeia EX,Foil,Near Mint,Rare,26-113R,$0.58
Nymeia EX,Normal,Near Mint,Rare,26-113R,$0.12
Odin,Foil,Lightly Played,Rare,26-087R,$0.67
Odin,Foil,Near Mint,Rare,26-087R,$0.63
Odin,Normal,Near Mint,Rare,26-087R,$0.15
Odin (Full Art),Foil,Lightly Played,Rare,26-087R,$9.95
Odin (Full Art),Foil,Near Mint,Rare,26-087R,$9.22
Old Snapper,Foil,Lightly Played,Common,26-106C,$0.15
Old Snapper,Foil,Near Mint,Common,26-106C,$0.44
Old Snapper,Normal,Near Mint,Common,26-106C,$0.07
Onion Knight (FFTS),Foil,Lightly Played,Common,26-010C,$0.15
Onion Knight (FFTS),Foil,Near Mint,Common,26-010C,$0.36
Onion Knight (FFTS),Normal,Near Mint,Common,26-010C,$0.08
Oracle,Foil,Near Mint,Common,26-118C/15-123C,$0.37
Oracle,Normal,Near Mint,Common,26-118C/15-123C,$0.07
Oschon,Foil,Near Mint,Hero,26-047H,$1.99
Oschon,Normal,Lightly Played,Hero,26-047H,$0.48
Oschon,Normal,Near Mint,Hero,26-047H,$0.33
Penelo,Foil,Lightly Played,Common,26-054C,$0.35
Penelo,Foil,Near Mint,Common,26-054C,$0.67
Penelo,Normal,Near Mint,Common,26-054C,$0.07
Phoenix,Foil,Near Mint,Rare,26-017R,$1.54
Phoenix,Normal,Near Mint,Rare,26-017R,$0.17
Phoenix (Full Art),Foil,Lightly Played,Rare,26-017R,$9.99
Phoenix (Full Art),Foil,Near Mint,Rare,26-017R,$12.53
Phoenix (XVI),Foil,Lightly Played,Hero,26-018H,$3.50
Phoenix (XVI),Foil,Near Mint,Hero,26-018H,$2.90
Phoenix (XVI),Normal,Lightly Played,Hero,26-018H,$0.63
Phoenix (XVI),Normal,Near Mint,Hero,26-018H,$0.50
Physalis,Foil,Near Mint,Hero,26-038H,$2.06
Physalis,Normal,Lightly Played,Hero,26-038H,$0.35
Physalis,Normal,Near Mint,Hero,26-038H,$0.20
Ra-la,Foil,Lightly Played,Legend,26-121L,$3.50
Ra-la,Foil,Near Mint,Legend,26-121L,$2.99
Ra-la,Normal,Lightly Played,Legend,26-121L,$1.95
Ra-la,Normal,Near Mint,Legend,26-121L,$1.30
Ra-la (Full Art),Foil,Lightly Played,Legend,26-121L,$11.99
Ra-la (Full Art),Foil,Near Mint,Legend,26-121L,$15.60
Refia LB,Foil,Near Mint,Rare,26-129R,$0.65
Refia LB,Normal,Lightly Played,Rare,26-129R,$0.20
Refia LB,Normal,Near Mint,Rare,26-129R,$0.31
Refia LB (Full Art),Foil,Near Mint,Rare,26-129R,$13.21
Rhalgr,Foil,Lightly Played,Rare,26-097R,$0.35
Rhalgr,Foil,Near Mint,Rare,26-097R,$0.46
Rhalgr,Normal,Near Mint,Rare,26-097R,$0.11
Samurai,Foil,Near Mint,Common,26-008C/15-007C,$0.32
Samurai,Normal,Near Mint,Common,26-008C/15-007C,$0.08
Sazh,Foil,Lightly Played,Rare,26-007R,$0.35
Sazh,Foil,Near Mint,Rare,26-007R,$0.77
Sazh,Normal,Near Mint,Rare,26-007R,$0.13
Sazh (Full Art),Foil,Lightly Played,Rare,26-007R,$9.99
Sazh (Full Art),Foil,Near Mint,Rare,26-007R,$4.96
Serah,Foil,Near Mint,Hero,26-092H,$5.63
Serah,Normal,Lightly Played,Hero,26-092H,$1.51
Serah,Normal,Near Mint,Hero,26-092H,$0.77
Serah (Full Art),Foil,Lightly Played,Hero,26-092H,$47.75
Serah (Full Art),Foil,Near Mint,Hero,26-092H,$47.00
Shantotto LB,Foil,Near Mint,Rare,26-128R,$0.83
Shantotto LB,Normal,Lightly Played,Rare,26-128R,$0.25
Shantotto LB,Normal,Near Mint,Rare,26-128R,$0.20
Sheiran,Foil,Near Mint,Common,26-071C,$0.70
Sheiran,Normal,Near Mint,Common,26-071C,$0.11
Shiva (XVI),Foil,Lightly Played,Rare,26-029R,$1.53
Shiva (XVI),Foil,Near Mint,Rare,26-029R,$1.69
Shiva (XVI),Normal,Lightly Played,Rare,26-029R,$0.10
Shiva (XVI),Normal,Near Mint,Rare,26-029R,$0.17
Sky Samurai,Foil,Lightly Played,Common,26-044C,$0.22
Sky Samurai,Foil,Near Mint,Common,26-044C,$0.55
Sky Samurai,Normal,Near Mint,Common,26-044C,$0.06
Sleipnir,Foil,Near Mint,Common,26-091C,$0.44
Sleipnir,Normal,Near Mint,Common,26-091C,$0.10
Snow,Foil,Near Mint,Rare,26-035R,$0.76
Snow,Normal,Near Mint,Rare,26-035R,$0.09
Snow (Full Art),Foil,Near Mint,Rare,26-035R,$13.80
Sonon,Foil,Near Mint,Hero,26-052H,$0.96
Sonon,Normal,Lightly Played,Hero,26-052H,$0.59
Sonon,Normal,Near Mint,Hero,26-052H,$0.53
Sonon (Full Art),Foil,Lightly Played,Hero,26-052H,$6.40
Sonon (Full Art),Foil,Near Mint,Hero,26-052H,$7.59
Star Sibyl,Foil,Lightly Played,Hero,26-039H,$0.55
Star Sibyl,Foil,Near Mint,Hero,26-039H,$0.66
Star Sibyl,Normal,Lightly Played,Hero,26-039H,$0.10
Star Sibyl,Normal,Near Mint,Hero,26-039H,$0.28
Summoner,Foil,Near Mint,Common,26-033C,$0.57
Summoner,Normal,Near Mint,Common,26-033C,$0.09
Sylvestre,Foil,Near Mint,Rare,26-110R,$1.33
Sylvestre,Normal,Near Mint,Rare,26-110R,$0.12
Tama,Foil,Lightly Played,Common,26-074C,$0.50
Tama,Foil,Near Mint,Common,26-074C,$0.47
Tama,Normal,Near Mint,Common,26-074C,$0.07
Thaliak,Foil,Near Mint,Common,26-108C,$0.51
Thaliak,Normal,Near Mint,Common,26-108C,$0.11
The Demon (Full Art),Foil,Lightly Played,Legend,20-007L,$19.99
The Demon (Full Art),Foil,Near Mint,Legend,20-007L,$25.13
The Fiend (Full Art),Foil,Lightly Played,Legend,20-114L,$9.99
The Fiend (Full Art),Foil,Near Mint,Legend,20-114L,$13.71
The Goddess (Full Art),Foil,Lightly Played,Legend,20-057L,$12.50
The Goddess (Full Art),Foil,Near Mint,Legend,20-057L,$11.03
Tidus EX,Foil,Near Mint,Hero,26-112H,$1.68
Tidus EX,Normal,Near Mint,Hero,26-112H,$0.36
Tifa,Foil,Lightly Played,Hero,26-076H,$8.25
Tifa,Foil,Near Mint,Hero,26-076H,$5.64
Tifa,Normal,Near Mint,Hero,26-076H,$0.76
Titan,Foil,Near Mint,Rare,26-072R,$2.51
Titan,Normal,Lightly Played,Rare,26-072R,$0.20
Titan,Normal,Near Mint,Rare,26-072R,$0.17
Titov,Foil,Lightly Played,Common,26-111C,$0.50
Titov,Foil,Near Mint,Common,26-111C,$0.61
Titov,Normal,Near Mint,Common,26-111C,$0.06
Undead Princess,Foil,Lightly Played,Common,26-022C,$0.75
Undead Princess,Foil,Near Mint,Common,26-022C,$0.84
Undead Princess,Normal,Near Mint,Common,26-022C,$0.11
Undead Princess (Full Art),Foil,Lightly Played,Common,26-022C,$20.99
Undead Princess (Full Art),Foil,Near Mint,Common,26-022C,$14.75
Undead Princess (Full Art),Normal,Near Mint,Common,26-022C,$15.00
Vaan EX,Foil,Near Mint,Rare,26-043R,$0.56
Vaan EX,Normal,Near Mint,Rare,26-043R,$0.11
Vanille,Foil,Near Mint,Legend,26-065L,$4.60
Vanille,Normal,Lightly Played,Legend,26-065L,$1.62
Vanille,Normal,Near Mint,Legend,26-065L,$1.29
Vanille (Full Art),Foil,Lightly Played,Legend,26-065L,$18.50
Vanille (Full Art),Foil,Near Mint,Legend,26-065L,$22.23
Vincent,Foil,Near Mint,Legend,26-066L,$1.60
Vincent,Normal,Lightly Played,Legend,26-066L,$0.23
Vincent,Normal,Near Mint,Legend,26-066L,$0.43
Vincent (Full Art),Foil,Lightly Played,Legend,PR-188/26-066L,$0.75
Vincent (Full Art),Foil,Near Mint,Legend,PR-188/26-066L,$0.47
Vivian,Foil,Near Mint,Hero,26-084H,$2.51
Vivian,Normal,Near Mint,Hero,26-084H,$0.34
Vrtra,Foil,Near Mint,Legend,26-085L,$1.85
Vrtra,Normal,Near Mint,Legend,26-085L,$0.99
Vrtra (Full Art),Foil,Lightly Played,Legend,26-085L,$12.32
Vrtra (Full Art),Foil,Near Mint,Legend,26-085L,$16.03
White Mage,Foil,Lightly Played,Common,26-051C,$0.15
White Mage,Foil,Near Mint,Common,26-051C,$0.25
White Mage,Normal,Near Mint,Common,26-051C,$0.07
Wol,Foil,Lightly Played,Common,26-023C,$0.15
Wol,Foil,Near Mint,Common,26-023C,$0.49
Wol,Normal,Near Mint,Common,26-023C,$0.05
Xiphos,Foil,Near Mint,Common,26-090C,$0.89
Xiphos,Normal,Near Mint,Common,26-090C,$0.09
Yuffie LB,Foil,Near Mint,Rare,26-126R,$0.80
Yuffie LB,Normal,Lightly Played,Rare,26-126R,$0.25
Yuffie LB,Normal,Near Mint,Rare,26-126R,$0.23
Yuffie LB (Full Art),Foil,Lightly Played,Rare,26-126R,$25.29
Yuffie LB (Full Art),Foil,Near Mint,Rare,26-126R,$32.48
Yuna,Foil,Near Mint,Rare,26-117R,$0.85
Yuna,Normal,Lightly Played,Rare,26-117R,$0.10
Yuna,Normal,Near Mint,Rare,26-117R,$0.15
Zack,Foil,Near Mint,Common,26-006C,$1.27
Zack,Normal,Lightly Played,Common,26-006C,$0.10
Zack,Normal,Near Mint,Common,26-006C,$0.12
Zangan,Foil,Near Mint,Hero,26-070H,$1.63
Zangan,Normal,Near Mint,Hero,26-070H,$0.44
Zodiark,Foil,Near Mint,Legend,26-123L,$2.21
