Product Name,Printing,Condition,Rarity,Number,Market Price
Gippal,Normal,Near Mint,Rare,25-020R,$0.12
Gippal (Full Art),Foil,Near Mint,Rare,25-020R,$3.82
Glenn,Foil,Near Mint,Rare,25-007R,$0.79
Glenn,Normal,Near Mint,Rare,25-007R,$0.15
Golbez,Foil,Near Mint,Hero,25-118H,$0.66
Golbez,Normal,Lightly Played,Hero,25-118H,$0.75
Golbez,Normal,Near Mint,Hero,25-118H,$0.26
Golbez (Full Art),Foil,Near Mint,Hero,25-118H,$15.03
Goobbue,Foil,Near Mint,Common,25-038C,$0.35
Goobbue,Normal,Near Mint,Common,25-038C,$0.09
Graff LB,Foil,Near Mint,Hero,25-116H,$0.68
Graff LB,Normal,Near Mint,Hero,25-116H,$0.31
Griever (Full Art),Foil,Near Mint,Legend,21-027L,$15.69
Hell House,Foil,Near Mint,Rare,25-015R,$0.18
Hell House,Normal,Lightly Played,Rare,25-015R,$0.15
Hell House,Normal,Near Mint,Rare,25-015R,$0.15
Ifrit,Foil,Lightly Played,Hero,25-004H,$1.50
Ifrit,Foil,Near Mint,Hero,25-004H,$0.61
Ifrit,Normal,Lightly Played,Hero,25-004H,$0.24
Ifrit,Normal,Near Mint,Hero,25-004H,$0.34
Ifrit (Full Art),Foil,Near Mint,Hero,25-004H,$24.56
Iron Eater,Foil,Near Mint,Common,25-002C,$0.43
Iron Eater,Normal,Near Mint,Common,25-002C,$0.11
Iron Eater (Full Art),Foil,Near Mint,Common,25-002C,$6.12
Jack EX,Foil,Near Mint,Common,25-075C,$0.44
Jack EX,Normal,Near Mint,Common,25-075C,$0.07
Kain LB,Foil,Near Mint,Rare,25-114R,$0.56
Kain LB,Normal,Near Mint,Rare,25-114R,$0.13
Kam'lanaut LB,Foil,Near Mint,Rare,25-108R,$0.60
Kam'lanaut LB,Normal,Near Mint,Rare,25-108R,$0.15
King,Foil,Near Mint,Rare,25-036R,$0.38
King,Normal,Near Mint,Rare,25-036R,$0.09
Kraken (III),Foil,Near Mint,Hero,25-091H,$1.55
Kraken (III),Normal,Lightly Played,Hero,25-091H,$0.75
Kraken (III),Normal,Near Mint,Hero,25-091H,$0.40
Kuja,Foil,Near Mint,Rare,25-072R,$0.31
Kuja,Normal,Near Mint,Rare,25-072R,$0.12
Kuja (Full Art),Foil,Lightly Played,Rare,25-072R,$6.59
Kuja (Full Art),Foil,Near Mint,Rare,25-072R,$6.41
Kurasame EX,Foil,Near Mint,Common,25-023C,$0.47
Kurasame EX,Normal,Near Mint,Common,25-023C,$0.08
Lenne,Foil,Lightly Played,Legend,25-034L,$6.25
Lenne,Foil,Near Mint,Legend,25-034L,$3.84
Lenne,Normal,Lightly Played,Legend,25-034L,$3.00
Lenne,Normal,Near Mint,Legend,25-034L,$3.23
Lenne (Full Art),Foil,Near Mint,Legend,25-034L,$28.63
Leonora LB,Foil,Near Mint,Rare,25-117R,$0.24
Leonora LB,Normal,Near Mint,Rare,25-117R,$0.15
Luca,Foil,Near Mint,Common,25-068C,$0.11
Luca,Normal,Near Mint,Common,25-068C,$0.07
Lucia,Foil,Near Mint,Rare,25-050R,$0.65
Lucia,Normal,Near Mint,Rare,25-050R,$0.15
Machina LB,Foil,Near Mint,Rare,25-106R,$0.67
Machina LB,Normal,Near Mint,Rare,25-106R,$0.19
Maenad,Foil,Near Mint,Common,25-032C,$0.29
Maenad,Normal,Near Mint,Common,25-032C,$0.07
"Mateus, the Corrupt",Foil,Near Mint,Hero,25-030H,$0.36
"Mateus, the Corrupt",Normal,Near Mint,Hero,25-030H,$0.24
"Mateus, the Corrupt (Full Art)",Foil,Near Mint,Hero,25-030H,$11.48
Matt,Foil,Near Mint,Rare,25-100R,$0.79
Matt,Normal,Near Mint,Rare,25-100R,$0.14
Meia,Foil,Near Mint,Legend,25-101L,$0.85
Meia,Normal,Near Mint,Legend,25-101L,$0.96
Necron,Foil,Lightly Played,Common,25-019C,$0.25
Necron,Foil,Near Mint,Common,25-019C,$0.24
Necron,Normal,Near Mint,Common,25-019C,$0.07
Nine,Foil,Near Mint,Common,25-046C,$0.31
Nine,Normal,Near Mint,Common,25-046C,$0.05
Nooj EX,Foil,Near Mint,Rare,25-029R,$0.30
Nooj EX,Normal,Near Mint,Rare,25-029R,$0.13
Nooj EX (Full Art),Foil,Lightly Played,Rare,25-029R,$5.50
Nooj EX (Full Art),Foil,Near Mint,Rare,25-029R,$7.21
Ovelia,Foil,Near Mint,Legend,13-090L,$12.17
Paine,Foil,Near Mint,Hero,25-080H,$0.64
Paine,Normal,Near Mint,Hero,25-080H,$0.31
Paladin,Foil,Near Mint,Common,25-028C,$0.39
Paladin,Normal,Near Mint,Common,25-028C,$0.09
Palom,Foil,Near Mint,Common,25-013C,$0.26
Palom,Normal,Near Mint,Common,25-013C,$0.08
Porom,Foil,Near Mint,Common,25-099C,$0.16
Porom,Normal,Near Mint,Common,25-099C,$0.10
Quacho Queen,Foil,Lightly Played,Common,25-090C,$0.50
Quacho Queen,Foil,Near Mint,Common,25-090C,$0.30
Quacho Queen,Normal,Near Mint,Common,25-090C,$0.06
Queen,Foil,Lightly Played,Hero,25-037H,$0.35
Queen,Foil,Near Mint,Hero,25-037H,$0.51
Queen,Normal,Lightly Played,Hero,25-037H,$0.75
Queen,Normal,Near Mint,Hero,25-037H,$0.35
Red XIII,Foil,Near Mint,Rare,25-017R,$0.41
Red XIII,Normal,Near Mint,Rare,25-017R,$0.12
Red XIII LB,Foil,Near Mint,Hero,25-107H,$0.78
Red XIII LB,Normal,Lightly Played,Hero,25-107H,$0.23
Red XIII LB,Normal,Near Mint,Hero,25-107H,$0.46
Rem,Foil,Near Mint,Legend,25-051L,$4.43
Rem,Normal,Near Mint,Legend,25-051L,$1.48
Reno,Foil,Lightly Played,Legend,25-085L,$6.00
Reno,Foil,Near Mint,Legend,25-085L,$4.46
Reno,Normal,Near Mint,Legend,25-085L,$4.08
Reno (Full Art),Foil,Near Mint,Legend,25-085L,$40.59
Rikku,Foil,Near Mint,Hero,25-067H,$0.57
Rikku,Normal,Near Mint,Hero,25-067H,$0.38
Rosa EX,Foil,Near Mint,Common,25-102C,$0.22
Rosa EX,Normal,Near Mint,Common,25-102C,$0.05
Rubicante EX,Foil,Near Mint,Rare,25-016R,$0.24
Rubicante EX,Normal,Lightly Played,Rare,25-016R,$0.15
Rubicante EX,Normal,Near Mint,Rare,25-016R,$0.12
Rubicante EX (Full Art),Foil,Near Mint,Rare,25-016R,$4.83
Rude,Foil,Near Mint,Rare,25-084R,$0.52
Rude,Normal,Near Mint,Rare,25-084R,$0.14
Rude (Full Art),Foil,Near Mint,Rare,25-084R,$14.73
SOLDIER Candidate (25-026C),Foil,Near Mint,Common,25-026C,$0.30
SOLDIER Candidate (25-026C),Normal,Near Mint,Common,25-026C,$0.06
SOLDIER Candidate (25-063C),Foil,Near Mint,Common,25-063C,$0.25
SOLDIER Candidate (25-063C),Normal,Near Mint,Common,25-063C,$0.06
SOLDIER Candidate (25-079C),Foil,Near Mint,Common,25-079C,$0.26
SOLDIER Candidate (25-079C),Normal,Near Mint,Common,25-079C,$0.08
Salamander (III),Foil,Near Mint,Hero,25-010H,$0.60
Salamander (III),Normal,Near Mint,Hero,25-010H,$0.30
Sarah (MOBIUS) LB,Foil,Near Mint,Hero,25-112H,$0.47
Sarah (MOBIUS) LB,Normal,Near Mint,Hero,25-112H,$0.26
Scarmiglione,Foil,Near Mint,Rare,25-061R,$0.33
Scarmiglione,Normal,Near Mint,Rare,25-061R,$0.11
Scarmiglione (Full Art),Foil,Near Mint,Rare,25-061R,$5.31
Scorpion Sentinel,Foil,Near Mint,Rare,25-071R,$0.50
Scorpion Sentinel,Normal,Near Mint,Rare,25-071R,$0.11
Security Officer,Foil,Near Mint,Common,25-008C,$0.51
Security Officer,Normal,Near Mint,Common,25-008C,$0.08
Sephiroth,Foil,Near Mint,Legend,25-025L,$10.86
Sephiroth,Normal,Lightly Played,Legend,25-025L,$9.50
Sephiroth,Normal,Near Mint,Legend,25-025L,$7.20
Sephiroth LB,Foil,Lightly Played,Hero,25-115H,$1.00
Sephiroth LB,Foil,Near Mint,Hero,25-115H,$1.34
Sephiroth LB,Normal,Lightly Played,Hero,25-115H,$0.47
Sephiroth LB,Normal,Near Mint,Hero,25-115H,$0.68
Seven,Foil,Near Mint,Hero,25-078H,$0.55
Seven,Normal,Near Mint,Hero,25-078H,$0.28
Shuyin LB,Foil,Near Mint,Hero,25-109H,$0.40
Shuyin LB,Normal,Near Mint,Hero,25-109H,$0.28
Shuyin LB (Full Art),Foil,Lightly Played,Hero,25-109H,$8.99
Shuyin LB (Full Art),Foil,Near Mint,Hero,25-109H,$12.13
Sice,Foil,Near Mint,Common,25-009C,$0.27
Sice,Normal,Near Mint,Common,25-009C,$0.06
Sophie,Foil,Near Mint,Common,25-062C,$0.52
Sophie,Normal,Near Mint,Common,25-062C,$0.09
Squall (Full Art),Foil,Near Mint,Legend,16-011L,$26.18
The Emperor LB,Foil,Lightly Played,Hero,25-111H,$0.65
The Emperor LB,Foil,Near Mint,Hero,25-111H,$0.93
The Emperor LB,Normal,Near Mint,Hero,25-111H,$0.80
The Mandragoras,Foil,Near Mint,Rare,25-048R,$0.19
The Mandragoras,Normal,Lightly Played,Rare,25-048R,$0.15
The Mandragoras,Normal,Near Mint,Rare,25-048R,$0.09
Thief,Foil,Near Mint,Common,25-041C,$0.23
Thief,Normal,Near Mint,Common,25-041C,$0.07
Tidus,Foil,Near Mint,Legend,25-096L,$5.63
Tidus,Normal,Lightly Played,Legend,25-096L,$3.37
Tidus,Normal,Near Mint,Legend,25-096L,$2.78
Tifa,Foil,Near Mint,Rare,25-065R,$8.62
Tifa,Normal,Lightly Played,Rare,25-065R,$0.35
Tifa,Normal,Near Mint,Rare,25-065R,$0.17
Trey,Foil,Near Mint,Common,25-012C,$0.25
Trey,Normal,Near Mint,Common,25-012C,$0.06
Ursula,Foil,Near Mint,Rare,25-052R,$0.25
Ursula,Normal,Near Mint,Rare,25-052R,$0.10
Varghidpolis,Foil,Near Mint,Common,25-069C,$0.23
Varghidpolis,Normal,Near Mint,Common,25-069C,$0.04
Vegnagun,Foil,Lightly Played,Legend,25-105L,$5.00
Vegnagun,Foil,Near Mint,Legend,25-105L,$3.52
Vegnagun,Normal,Near Mint,Legend,25-105L,$2.48
Vincent,Foil,Near Mint,Common,25-054C,$0.49
Vincent,Normal,Lightly Played,Common,25-054C,$0.10
Vincent,Normal,Near Mint,Common,25-054C,$0.10
Vivi,Foil,Near Mint,Common,25-082C,$0.36
Vivi,Normal,Near Mint,Common,25-082C,$0.08
Volker,Foil,Near Mint,Legend,25-014L,$1.78
Volker,Normal,Near Mint,Legend,25-014L,$1.76
Volker (Full Art),Foil,Near Mint,Legend,25-014L,$23.07
Wererat,Foil,Near Mint,Common,25-055C,$0.25
Wererat,Normal,Lightly Played,Common,25-055C,$0.10
Wererat,Normal,Near Mint,Common,25-055C,$0.05
White Mage,Foil,Near Mint,Common,25-094C,$0.17
White Mage,Normal,Near Mint,Common,25-094C,$0.08
Wol,Foil,Near Mint,Legend,25-056L,$1.96
Wol,Normal,Near Mint,Legend,25-056L,$1.44
Yang LB,Foil,Near Mint,Rare,25-113R,$0.77
Yang LB,Normal,Near Mint,Rare,25-113R,$0.17
Yuffie,Foil,Lightly Played,Common,25-049C,$0.50
Yuffie,Foil,Near Mint,Common,25-049C,$0.49
Yuffie,Normal,Lightly Played,Common,25-049C,$0.10
Yuffie,Normal,Near Mint,Common,25-049C,$0.12
Yuna (25-033R),Foil,Near Mint,Rare,25-033R,$0.65
Yuna (25-033R),Normal,Near Mint,Rare,25-033R,$0.12
Yuna (25-104L),Foil,Lightly Played,Legend,25-104L,$11.49
Yuna (25-104L),Foil,Near Mint,Legend,25-104L,$16.17
Yuna (25-104L),Normal,Near Mint,Legend,25-104L,$4.78
Yuna (Full Art),Foil,Near Mint,Legend,25-104L,$148.49
Zack,Foil,Near Mint,Legend,25-073L,$1.03
Zack,Normal,Lightly Played,Legend,25-073L,$1.00
Zack,Normal,Near Mint,Legend,25-073L,$0.98
Zack (Full Art),Foil,Lightly Played,Legend,PR-182/25-073L,$2.30
Zack (Full Art),Foil,Near Mint,Legend,PR-182/25-073L,$2.00
Zeid,Foil,Near Mint,Hero,25-024H,$0.25
Zeid,Normal,Near Mint,Hero,25-024H,$0.26
Zeid (Full Art),Foil,Near Mint,Hero,25-024H,$3.99
Zidane,Foil,Near Mint,Common,25-042C,$0.27
Zidane,Normal,Near Mint,Common,25-042C,$0.07
